EMPRESA;MÊS;OBSERVACOES;LOCAL;VALOR
CONSTRUÇÃO;NOVEMBRO;PARCELA 13° SALÁRIO;MA;42044,02
CONSTRUÇÃO;NOVEMBRO;PARCELA 13° SALÁRIO;MG;17413,8
CONSTRUÇÃO;NOVEMBRO;PARCELA 13° SALÁRIO;MS;123244,88
CONSTRUÇÃO;DEZEMBRO;13° SALÁRIO;MA;31857,91
CONSTRUÇÃO;DEZEMBRO;13° SALÁRIO;MG;11850,12
CONSTRUÇÃO;DEZEMBRO;13° SALÁRIO;MS;86426,93
CONSTRUÇÃO;NOVEMBRO;FOLHA DE PAGAMENTO;MA;79012,09
CONSTRUÇÃO;NOVEMBRO;FOLHA DE PAGAMENTO;MG;35526,55
CONSTRUÇÃO;NOVEMBRO;FOLHA DE PAGAMENTO;MS;341506,28
CONSTRUÇÃO;NOVEMBRO;FOLHA DE PAGAMENTO - RAFAEL;GERAL;23000
CONSTRUÇÃO;DEZEMBRO;FOLHA DE PAGAMENTO;MA;82027,82
CONSTRUÇÃO;DEZEMBRO;FOLHA DE PAGAMENTO;MG;35574,74
CONSTRUÇÃO;DEZEMBRO;FOLHA DE PAGAMENTO;MS;341824,85
CONSTRUÇÃO;DEZEMBRO;FOLHA DE PAGAMENTO - RAFAEL;GERAL;23000
LOCAÇÃO;NOVEMBRO;PARCELA 13° SALÁRIO;LOC;11569,12
LOCAÇÃO;DEZEMBRO;13° SALÁRIO;LOC;8911,69
LOCAÇÃO;NOVEMBRO;FOLHA DE PAGAMENTO;LOC;19375,28
LOCAÇÃO;DEZEMBRO;FOLHA DE PAGAMENTO;LOC;19932,3
CONSTRUÇÃO;NOVEMBRO;FLASH;MA;11345
CONSTRUÇÃO;NOVEMBRO;FLASH;MG;14050
CONSTRUÇÃO;NOVEMBRO;FLASH;MS;164394,65
CONSTRUÇÃO;NOVEMBRO;FLASH;LOC;2300
CONSTRUÇÃO;DEZEMBRO;FLASH;MA;13645
CONSTRUÇÃO;DEZEMBRO;FLASH;MG;14050
CONSTRUÇÃO;DEZEMBRO;FLASH;MS;260369,65
CONSTRUÇÃO;DEZEMBRO;FLASH;LOC;2300
CONSTRUÇÃO;DEZEMBRO;VIAGEM;MT;59693,94
CONSTRUÇÃO;DEZEMBRO;VIAGEM;MS;10420,1
CONSTRUÇÃO;NOVEMBRO;PESSOA JURIDICA;GERAL;134254,6
CONSTRUÇÃO;DEZEMBRO;PESSOA JURIDICA;GERAL;134254,6
